Name,Awards,Education
Charles P. Thacker,2,thacker was born in pasadena california on february his father was ralph scott thacker born an electrical engineer caltech class of in the aeronautical industry and with previous marriage his mother was the former mattie fern cheek born in oklahoma cashier and secretary who soon raised their two sons on her own
Daniel Thalmann,0,after master degree in nuclear physics and combined certificate in statistics and computer science both from the university of geneva he earned phd in computer science also from the university of geneva in his phd he worked very early on the concept of abstract machines for portable compilers and operating systems from to he was professor at the university of montreal in canada where he started to work on computer graphics and animation then he came back to switzerland and founded the virtual reality lab vrlab at epfl switzerland he has been visiting professor researcher at cern university of nebraska lincoln university of tokyo and national university of singapore from to he was visiting professor at the institute for media innovation nanyang technological university singapore he is co editor in chief of the journal of computer animation and virtual worlds and member of the editorial board of six other journals thalmann has published more than papers in graphics animation and virtual reality he is coeditor of books and coauthor of several books including crowd simulation second edition and stepping into virtual reality published by springer
Sebastian Thrun,8,sebastian thrun born may is german american entrepreneur educator and computer scientist he is ceo of kitty hawk corporation and chairman and co founder of udacity before that he was google vp and fellow professor of computer science at stanford university and before that at carnegie mellon university at google he founded google and google self driving car team he is also an adjunct professor at stanford university and at georgia tech
Linus Torvalds,0,linus benedict torvalds ˈliːnəs ˈtɔːrvɔːldz lee nəs tor vawldz finland swedish ˈliːnʉs ˈtuːrvɑlds listen born december is finnish american software engineer who is the creator and historically the lead developer of the linux kernel used by linux distributions and other operating systems such as android he also created the distributed version control system git
Leonardo Torres y Quevedo,0,leonardo torres quevedo spanish le oˈnaɾðo ˈtores keˈβeðo december december was spanish civil engineer and mathematician of the late nineteenth and early twentieth centuries torres was pioneer in the development of the radio control and automated calculation machines the inventor of chess automaton and innovative designer of the three lobed non rigid astra torres airship and the whirlpool aero car located in niagara falls with his telekine torres quevedo created wireless remote control operation principles he was also famous speaker of esperanto
Godfried Toussaint,1,he was co founder of the annual acm symposium on computational geometry and the annual canadian conference on computational geometry
Edwin E. Tozer,0,tozer started his career in the manufacturing and mining industry in he became junior systems analyst at the management consultancy firm scicon in london subsidiary of british petroleum originally known as scientific control systems chaired by sir maurice kendall after spells with other consulting firms he worked with james martin european operation from to
Joseph F Traub,0,from to he headed the computer science department at carnegie mellon during critical period from to he was the founding chair of the computer science department at columbia from to he served as founding chair of the computer science and board national academies and held the post again traub was founding editor of the annual review of computer science and editor in chief of the journal of complexity both his research and institution building work have had major impact on the field of computer science
John V. Tucker,0,born in cardiff wales he was educated at bridgend boys grammar school where he was taught mathematics logic and computing he read mathematics at university of warwick ba in and studied mathematical logic and the foundations of computing at university of bristol msc in phd in he has held posts at oslo university the cwi amsterdam and at bristol and leeds universities before returning to wales as professor of computer science at swansea university in in addition to theoretical computer science tucker also lectures on the history of computing and on the history of science and technology and wales
John Tukey,7,john wilder tukey ˈtuːki june july was an american mathematician and statistician best known for the development of the fast fourier transform fft algorithm and box plot the tukey range test the tukey lambda distribution the tukey test of additivity and the teichmüller tukey lemma all bear his name he is also credited with coining the term bit and the first published use of the word software
Murray Turoff,1,turoff received his degree in mathematics and physics from the university of california at berkeley in he received his phd in physics from brandeis university in
Jeffrey D. Ullman,0,jeffrey david ullman born november is an american computer scientist and the stanford ascherman professor of engineering emeritus at stanford university his textbooks on compilers various editions are popularly known as the dragon book theory of computation also known as the cinderella book data structures and databases are regarded as standards in their fields he and his long time collaborator alfred aho are the recipients of the turing award generally recognized as the highest distinction in computer science
Leslie Valiant,6,leslie gabriel valiant frs born march is british american computer scientist and computational theorist he was born to chemical engineer father and translator mother he is currently the jefferson coolidge professor of computer science and applied mathematics at harvard university valiant was awarded the turing award in having been described by the as heroic figure in theoretical computer science and role model for his courage and creativity in addressing some of the deepest unsolved problems in science in particular for his striking combination of depth and breadth
Vladimir Vapnik,0,vladimir vapnik was born to jewish family in the soviet union he received his master degree in mathematics from the uzbek state university samarkand uzbek ssr in and ph in statistics at the institute of control sciences moscow in he worked at this institute from to and became head of the computer science research department
Moshe Vardi,7,vardi has authored or co authored over technical papers as well as editing several collections he has authored the books reasoning about knowledge with ronald fagin joseph halpern and yoram moses and finite model theory and its applications with erich grädel phokion kolaitis leonid libkin maarten marx joel spencer yde venema and scott weinstein he is senior editor of communications of the acm after serving as its editor in chief for decade
Dorothy Vaughan,0,she later was promoted officially to the position of supervisor during her year career vaughan prepared for the introduction of computers in the early by teaching herself and her staff the programming language of fortran she later headed the programming section of the analysis and computation division acd at langley
Umesh Vazirani,0,vazirani received bs from mit in and received his ph in from uc berkeley under the supervision of manuel blum
Manuela M. Veloso,0,manuela veloso received her licenciatura and master of science degree in electrical engineering from lisbon instituto superior técnico in and respectively she then attended boston university and received master of arts in computer science in citation needed she moved to carnegie mellon university and received her ph in computer science there in her thesis learning by analogical reasoning in general purpose problem solving was supervised by jaime carbonell
François Vernadat,0,vernadat studied from until at the university of clermont france where received master degree in electronics and automatic control and phd in he has been research officer first at the national research council of canada nrcc ottawa from until and then at institut national de recherche en informatique et automatique inria france until sept from until he has been professor at the university of metz in automatic control and industrial engineering the head of the department on automation and industrial engineering agip and the director of the laboratory for industrial engineering and mechanical production lgipm at the end of he joined the european commission dg eurostat in luxemburg as an administrator in the it directorate and then moved to dg informatics digit until jan since then he has been the head of the it infrastructure department of the european court of auditors another european institution he is currently an associate member of the lgipm laboratory for industrial engineering production and maintenance of university of lorraine metz france
Richard Veryard,0,veryard attended sevenoaks school from to where he attended classes by gerd sommerhoff he received his ma mathematics and philosophy from merton college oxford in and his msc computing science at the imperial college london in later he also received his mba from the open university in
Paul Vitanyi,0,vitányi was born in budapest to dutch mother and hungarian father he received his degree of mathematical engineer from delft university of technology in and his ph from the free university of amsterdam in
Andrew Viterbi,0,viterbi was born to an italian jewish family in bergamo italy and emigrated with them to the united states two years before world war ii his original name was andrea but when he was naturalized in the us his parents anglicized it to andrew citation needed
Jeffrey Scott Vitter,0,vitter was born and raised in new orleans louisiana he earned bachelor of science in mathematics with highest honors from the university of notre dame in ph in computer science from stanford university under the supervision of donald knuth in and master of business administration from duke university in
Paul Vixie,0,vixie was software engineer at digital equipment corporation dec from to after he left dec in he founded internet software consortium isc in together with rick adams and carl malamud to support bind and other software for the internet the activities of isc were assumed by new company internet systems consortium in although isc operates the root name server vixie at one point joined the open root server network orsn project and operated their root server
David Waltz,2,waltz was born in boston massachusetts in he attended the massachusetts institute of technology mit where as student of artificial intelligence pioneer marvin minsky he was part of the mit artificial intelligence laboratory and received and ph degrees all in electrical engineering
James Z. Wang,1,wang received summa cum laude bachelor degree in mathematics and computer science from the university of minnesota advisor dennis hejhal an in mathematics and an in computer science both from stanford university and ph degree in medical information sciences from stanford university biomedical informatics and database groups advisor gio wiederhold committee members hector garcia molina and stephen wong
Kevin Warwick,4,kevin warwick born february is an english engineer and deputy vice chancellor research at coventry university he is known for his studies on direct interfaces between computer systems and the human nervous system and has also done research concerning robotics
Philip Wadler,2,philip lee wadler born april is an american computer scientist known for his contributions to programming language design and type theory he is the chair of theoretical computer science at the laboratory for foundations of computer science at school of informatics university of edinburgh he has contributed to the theory behind functional programming and the use of monads in functional programming the design of the purely functional language haskell and the xquery declarative query language in he created the orwell programming language wadler was involved in adding generic types to java he is also author of the paper theorems for free that gave rise to much research on functional language optimization see also parametricity
Peter Wegner,2,wegner was educated at university of cambridge and received post graduate diploma in numerical analysis and automatic computing in at time when there were no phd programs in computer science he was awarded phd from the university of london in for his book programming languages information structures and machine organization with maurice wilkes listed as his supervisor
Mark Weiser,0,weiser was born in chicago illinois to david and audra weiser he grew up in stony brook new york he moved to sarasota florida to study philosophy at new college of florida but dropped out in his second year when he ran out of money he then moved to ann arbor michigan where he found job as computer programmer while working as computer programmer he began taking computer science classes and excelled to the point that he was directly admitted into master program at the university of michigan he studied computer and communication science at the university of michigan receiving an in and ph in
Joseph Weizenbaum,0,born in berlin germany to jewish parents he escaped nazi germany in january immigrating with his family to the united states he started studying mathematics in at wayne state university in detroit michigan in he interrupted his studies to serve in the army air corps as meteorologist having been turned down for cryptology work because of his enemy alien status after the war in he returned to wayne state obtaining his in mathematics in and his in
David Wheeler,0,david john wheeler frs february december was computer scientist and professor of computer science at the university of cambridge
Franklin H. Westervelt,0,franklin herbert westervelt march july was an american engineer computer scientist and educator at the university of michigan and wayne state university westervelt received degrees in mathematics mechanical and electrical engineering from the college of engineering at the university of michigan he attained his phd in he was professor of mechanical engineering at the university of michigan and an associate director at the computing center he was involved in early studies on how to use computers in engineering education
Steve Whittaker,4,he was born in liverpool in the uk in as an undergraduate he studied natural sciences at cambridge obtaining his phd in cognitive psychology at st andrews he spent many years in industry where he worked at hewlett packard labs at labs and ibm research labs moving to academia he was professor of information science at university of sheffield before relocating to the university of california in
Jennifer Widom,0,widom earned bs degree in trumpet performance from the indiana university jacobs school of music in and phd in computer science under david gries from cornell university in
Gio Wiederhold,0,giovanni corrado melchiore wiederhold june december was an italian born american computer scientist who spent most of his career at stanford university his research focused on the design of large scale database management systems the protection of their content often using knowledge based techniques after his formal retirement he focused on valuation methods for intellectual property and intellectual capital
Norbert Wiener,0,norbert wiener november march was an american mathematician and philosopher he was professor of mathematics at the massachusetts institute of technology mit child prodigy wiener later became an early researcher in stochastic and mathematical noise processes contributing work relevant to electronic engineering electronic communication and control systems
Adriaan van Wijngaarden,0,adriaan aad van wijngaarden november february was dutch mathematician and computer scientist trained as an engineer van wijngaarden would emphasize and promote the mathematical aspects of computing first in numerical analysis then in programming languages and finally in design principles of such languages
Mary Allen Wilkes,0,wilkes was born in chicago illinois and graduated from wellesley college in where she majored in philosophy and theology wilkes planned to become lawyer but was discouraged by friends and mentors from pursuing law because of the challenges women faced in the field geography teacher in the eighth grade had told wilkes mary allen when you grow up you ought to be computer programmer she worked in the field as one of the first programmers for number of years before pursuing law and becoming an attorney in
Yorick Wilks,20,yorick wilks fbcs born october british computer scientist is emeritus professor of artificial intelligence at the university of sheffield visiting professor of artificial intelligence at gresham college post created especially for him former senior research fellow at the oxford internet institute senior scientist at the florida institute for human and machine cognition and member of the epiphany philosophers
James H. Wilkinson,3,james hardy wilkinson frs september october was prominent figure in the field of numerical analysis field at the boundary of applied mathematics and computer science particularly useful to physics and engineering
Sophie Wilson,6,sophie mary wilson cbe frs freng distfbcs born roger wilson june is an english computer scientist who helped design the bbc micro and arm architecture
Terry Winograd,1,winograd grew up in colorado and graduated from colorado college in he wrote shrdlu as phd thesis at mit in the years from in making the program winograd was concerned with the problem of providing computer with sufficient understanding to be able to use natural language winograd built blocks world restricting the program intellectual world to simulated world of toy blocks the program could accept commands such as find block which is taller than the one you are holding and put it into the box and carry out the requested action using simulated block moving arm the program could also respond verbally for example do not know which block you mean the shrdlu program can be viewed historically as one of the classic examples of how difficult it is for programmer to build up computer semantic memory by hand and how limited or brittle such programs are
Niklaus Wirth,5,niklaus emil wirth born february is swiss computer scientist he has designed several programming languages including pascal and pioneered several classic topics in software engineering in he won the turing award generally recognized as the highest distinction in computer science for developing sequence of innovative computer languages
Dennis E. Wisnosky,0,dennis wisnosky born is an american consultant writer and former chief architect and chief technical officer of the us dod business mission area bma within the office of business transformation he is known as one of the creators and initiators of the integrated definition idefs language standard for modeling and analysis in management and business improvement efforts
Stephen Wolfram,0,stephen wolfram ˈwʊlfrəm born august is british american computer scientist physicist and businessman he is known for his work in computer science mathematics and theoretical physics in he was named fellow of the american mathematical society he is currently an adjunct professor at the university of illinois department of computer science
Beatrice Helen Worsley,1,beatrice helen worsley october may was canadian computer scientist who was the first female computer scientist in canada she received her ph degree from the university of cambridge with maurice wilkes as adviser the first ph granted in what would today be known as computer science she wrote the first program to run on edsac co wrote the first compiler for toronto ferranti mark wrote numerous papers in computer science and taught computers and engineering at queen university and the university of toronto for over years before her death at the age of
Steve Wozniak,0,stephen gary wozniak ˈwɒzniæk born august also known by his nickname woz is an american electronics engineer computer programmer philanthropist inventor and technology entrepreneur in with business partner steve jobs he co founded apple computer which later became the world largest technology company by revenue and the largest company in the world by market capitalization through his work at apple in the and he is widely recognized as one of the most prominent pioneers of the personal computer revolution
William Wulf,0,born in chicago he attended the university of illinois urbana champaign receiving bachelor of science in engineering physics in and an master of science in electrical engineering in he then achieved the first doctor of philosophy ph in computer science from the university of virginia in
Mihalis Yannakakis,0,mihalis yannakakis greek μιχάλης γιαννακάκης born september in athens greece is professor of computer science at columbia university he is noted for his work in computational complexity databases and other related fields he won the donald knuth prize in
Andrew Chi-Chih Yao,1,yao was naturalized citizen and worked for many years in the in together with yang chen ning he renounced his citizenship and became an academician of the chinese academy of sciences
Edward Yourdon,0,yourdon obtained his in applied mathematics from massachusetts institute of technology mit in and did graduate work in electrical engineering and computer science at mit and the polytechnic institute of new york
Moti Yung,6,yung earned his phd from columbia university in under the supervision of zvi galil in the past he worked at the ibm thomas watson research center certco rsa laboratories and google in yung moved from google to snap inc yung is currently research scientist at google
Hans Zantema,0,born in goingarijp the netherlands zantema received his phd in algebraic number theory in at the university of amsterdam under supervision of hendrik lenstra jr for the thesis entitled integer valued polynomials in algebraic number theory
Stanley Zdonik,0,stanley zdonik zəˈdɒnɪk zə don ik is computer scientist specializing in database management systems he is tenured professor of computer science at brown university zdonik has lived in the boston area his entire life after completing two bachelor and two master degrees at mit he then earned phd in database management under michael hammer
Jill Zimmerman,0,jill loraine zimmerman born march is an american computer scientist and the james beall professor of mathematics and computer science at goucher college since she has been the head of the goucher robotics lab
